,r2,rmse,kendall,spearman,mape,month,source
YORO,-0.7947869176160398,2656.8634568526704,0.17647058823529413,0.2507739938080495,62.9289839274351,1,imerg
LA ESPERANZA,-39.36172887155445,500.03914828071026,0.08421052631578947,0.13834586466165413,610.0255431893885,1,imerg
CAYETANO,-1.2411664576524983,3516.826470142313,0.4102564102564102,0.5659340659340659,86.33679259623251,1,imerg
EL GUINEO,-1.5135056484545775,6901.612435563132,0.1515151515151515,0.22377622377622378,77.114425191795,1,imerg
AZACUALPA-PATUCA,-1.7525829556142485,2327.8379965844256,-0.303030303030303,-0.30069930069930073,100.93777381275852,1,imerg
SANTA MARIA,-3.282839983200038,1638.2274088378535,-0.06666666666666667,-0.07878787878787878,87.5214095776234,1,imerg
CATACAMAS,-0.7118045625150247,643.9184537529757,0.12631578947368421,0.1263157894736842,73.66636044454096,1,imerg
MANTO,-0.4752040744596615,154.59513787500154,0.303030303030303,0.43356643356643365,55.53950328790963,1,imerg
EL VIJAO,-0.4877500675104418,906.9621961557157,0.25641025641025633,0.34615384615384615,102.93365544337179,1,imerg
LA LIMA,-1.3504797433239646,626.3780950636288,0.2051282051282051,0.25274725274725274,73.24585831289282,1,imerg
TEGUCIGALPA,-5.971320225719795,366.80004133907903,-0.1213724541484165,-0.22865740616655927,112719.7156413014,1,imerg
SANTA LUCIA,-2.8646855172436094,150.15914901960417,0.16176470588235295,0.2303921568627451,124.784039426473,1,imerg
LA VENTA,-6.514923593763996,171.0151224680481,-0.04761904761904762,-0.28571428571428575,120.95741692783054,1,imerg
GUINOPE,-0.8315973133845787,64.29630163980222,-0.05245929835764225,-0.02168301786115761,133.8738856625119,1,imerg
SAN ANTONIO DE FLORES,-8.366256816368315,153.79278059676574,0.2613311773600135,0.37444487058223563,151.08112768728418,1,imerg
SAN LUCAS,-4.657465357268606,240.63085986249138,-0.11411709287747412,-0.17549561577967546,236.13304925476518,1,imerg
TEXIGUAT,-2200.8950737798796,195.24828848671586,0.019672236884115842,0.023386170701251208,511.1901490372947,1,imerg
AMAPALA,-88.83136282093143,17.182493923573656,-0.10734080474895662,-0.13421576376568053,220.262390674359,1,imerg
ALIANZA,0.0,6.419662211075771,,,173.79985339144443,1,imerg
CHOLUTECA,-2.268683305337083,37.09800207383504,-0.05508226327552436,-0.10672166013933722,255.37767559074723,1,imerg
EL CEDRITO,-3.5280370252806605,9.731366485936512,-0.0196078431372549,-0.023374100418794893,179.74445584234232,1,imerg
GOASCORAN,-33.99284439010186,97.84280098248448,0.29411764705882354,0.3506115062819234,426.7022520716199,1,imerg
LIURE,-17.353059971841027,10.51845588324432,0.11386285057483177,0.14041536186314013,196.1365353990124,1,imerg
